ticker,quality_score
MMM,2.78362
AOS,0.33153
ABT,-0.44887
ACN,0.16597
ADBE,1.74273
AMD,-0.85542
AES,-0.86637
AFL,-0.32329
A,-0.06202
APD,-1.1186
AKAM,-0.57932
ALB,-1.1186
ARE,-1.1186
ALGN,-0.63454
LNT,-0.53686
ALL,0.65611
GOOGL,0.70697
GOOG,0.70697
AMZN,0.13024
AMCR,-0.74395
AEE,-0.5407
AEP,-0.46105
AXP,0.62842
AIG,-0.73249
AMT,0.36419
AWK,-0.58892
AMP,1.95858
AME,-0.37244
AMGN,2.8641
APH,0.67368
ADI,-0.7903
AON,0.82312
APA,0.29103
APO,-0.27305
AAPL,2.8641
AMAT,0.70998
APTV,-0.96032
ACGL,-0.20761
ADM,-0.85931
AJG,-0.66099
AIZ,-0.33195
T,-0.1387
ATO,-0.64771
ADSK,0.96021
ADP,2.5281
AVB,-0.62537
AVY,0.43533
AXON,-0.61116
BKR,-0.25536
BALL,-0.52203
BAC,-0.60276
BAX,-1.1186
BDX,-0.7918
BBY,0.03515
TECH,-0.93408
BIIB,-0.64854
BLK,-0.57704
BX,0.24068
BK,-0.46235
BSX,-0.48361
BMY,0.62023
AVGO,0.47873
BR,0.85034
BRO,-0.57658
BLDR,-0.42823
BG,-0.62516
BXP,-1.1186
CHRW,0.64828
CDNS,-0.0041
CPT,-0.82359
CPB,-0.36295
COF,-1.00698
CCL,0.19796
CAT,1.26866
CBOE,-0.01006
CBRE,-0.40049
COR,2.8641
CNC,-1.1186
CNP,-0.63304
CF,0.00788
CRL,-1.1186
SCHW,-0.24728
CHTR,0.49319
CVX,-0.75178
CMG,1.19996
CB,-0.42388
CHD,-0.16701
CI,-0.32547
CINF,-0.37778
CTAS,1.11897
CSCO,0.03126
C,-0.77692
CLX,2.8641
CME,-0.43912
CMS,-0.54868
KO,1.06951
CTSH,-0.37923
CL,2.8641
CMCSA,0.12293
CAG,-1.1186
COP,-0.33153
ED,-0.67281
STZ,-0.38167
COO,-0.89291
CPRT,-0.19138
GLW,-0.47059
CPAY,0.37757
CSGP,-1.11805
COST,0.44124
CTRA,-0.51643
CCI,-1.1186
CSX,0.03608
CMI,0.04936
CVS,-1.10114
DHR,-0.7763
DRI,1.67418
DVA,2.06378
DECK,1.11462
DE,-0.07192
DAL,0.30876
DVN,-0.16738
DXCM,0.45731
FANG,-0.56589
DLR,-0.82909
DG,-0.27818
DLTR,-0.09064
D,-0.65388
DOV,-0.30758
DHI,-0.43233
DTE,-0.52664
DUK,-0.61754
DD,-0.96431
ETN,-0.06025
EBAY,1.06888
ECL,0.0028
EIX,-0.3137
EW,-0.43155
EA,-0.44664
ELV,-0.47941
EME,0.7919
EMR,-0.64564
ETR,-0.55101
EOG,-0.17308
EPAM,-0.60188
EQT,-0.69101
EFX,-0.45364
EQIX,-0.73187
EQR,-0.58959
ERIE,0.44741
ESS,-0.30219
EL,-1.1186
EG,-0.94471
EVRG,-0.69277
ES,-0.68468
EXC,-0.59664
EXPE,1.66288
EXPD,0.76167
EXR,-0.77926
XOM,-0.53878
FFIV,-0.0629
FDS,0.36378
FAST,0.59503
FRT,-0.58586
FDX,-0.30742
FIS,-1.06977
FITB,-0.4989
FSLR,-0.25671
FE,-0.55081
F,-0.59732
FTNT,2.8641
BEN,-0.93315
FCX,-0.40801
GRMN,-0.112
IT,2.8641
GE,1.18617
GEN,0.16654
GNRC,-0.51052
GD,-0.20911
GIS,0.27781
GM,-0.90079
GPC,-0.24997
GILD,0.9795
GPN,-0.75608
GL,0.02395
GS,-0.41117
HAL,-0.4947
HIG,-0.09053
HAS,-1.1186
DOC,-1.1186
HSIC,-0.69827
HSY,0.47691
HOLX,-0.55475
HD,2.8641
HON,0.66373
HRL,-0.81991
HST,-0.5647
HUBB,0.16467
HUM,-0.75992
HBAN,-0.60769
HII,-0.48885
IBM,0.43248
IEX,-0.4987
IDXX,2.22011
ITW,2.8641
INCY,0.44456
PODD,-0.11075
INTC,-1.1186
IBKR,0.08778
ICE,-0.5352
IFF,-1.1186
IP,-1.1186
INTU,0.00891
ISRG,-0.26573
IVZ,-0.77314
JBHT,-0.31256
JBL,1.34851
JKHY,0.08477
J,-0.79289
JNJ,0.71252
