ticker,size_score
MMM,0.27088
AOS,0.96614
ABT,0.11738
ACN,0.13544
ADBE,0.19413
AMD,0.04289
AES,0.97065
AFL,0.39729
A,0.5237
APD,0.38826
AKAM,0.89616
ALB,0.74492
ARE,0.96388
ALGN,0.93002
LNT,0.82844
ALL,0.42212
GOOGL,0.00226
GOOG,0.00451
MO,0.22799
AMZN,0.01129
AMCR,0.77652
AEE,0.63431
AEP,0.37246
AXP,0.08804
AIG,0.5079
AMT,0.27991
AWK,0.69074
AMP,0.4605
AME,0.42664
AMGN,0.11964
APH,0.12415
ADI,0.16027
AON,0.32957
APA,0.98194
APO,0.30474
AAPL,0.00677
AMAT,0.08578
APTV,0.84424
ACGL,0.56433
ADM,0.58691
AJG,0.36117
AIZ,0.93905
T,0.13995
ATO,0.65463
ADSK,0.39503
ADP,0.22573
AZO,0.37698
AVB,0.67946
AVY,0.8781
AXON,0.45598
BKR,0.41986
BALL,0.8623
BAC,0.0474
BAX,0.96163
BDX,0.39278
BBY,0.88939
TECH,0.95937
BIIB,0.693
BLK,0.13318
BX,0.12641
BK,0.28668
BA,0.11287
BKNG,0.15124
BSX,0.17607
BMY,0.2167
AVGO,0.0158
BR,0.7088
BRO,0.6456
BLDR,0.90519
BG,0.75395
BXP,0.94131
CHRW,0.77201
CDNS,0.26862
CPT,0.94357
CPB,0.99323
COF,0.17156
CAH,0.44695
CCL,0.53725
CAT,0.06546
CBOE,0.614
CBRE,0.44244
COR,0.34537
CNC,0.73815
CNP,0.68849
CF,0.87133
CRL,0.95485
SCHW,0.1219
CHTR,0.6614
CVX,0.05418
CMG,0.41309
CB,0.20542
CHD,0.74266
CI,0.32506
CINF,0.69752
CTAS,0.31377
CSCO,0.06321
C,0.10384
CLX,0.89391
CME,0.23251
CMS,0.76072
KO,0.05869
CTSH,0.50113
CL,0.33634
CMCSA,0.21219
CAG,0.99097
COP,0.19865
ED,0.53499
STZ,0.63883
COO,0.85779
CPRT,0.50564
GLW,0.29571
CPAY,0.74041
CSGP,0.63205
